method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
fs,glc2,21%,None,3PG,24,M0,0.5751853166642602,0.005186790151626247
fs,glc2,21%,None,3PG,24,M1,3.431942529145043e-5,3.431942529145015e-5
fs,glc2,21%,None,3PG,24,M2,0.4402422788960064,4.812919638882551e-4
fs,glc2,21%,None,3PG,24,M3,1.5178154756992624e-19,4.717765182981027e-20
fs,glc2,21%,None,3PG,48,M0,0.550834343154081,0.0034973483516016167
fs,glc2,21%,None,3PG,48,M1,0.0013680251179527649,8.278303909870492e-4
fs,glc2,21%,None,3PG,48,M2,0.45798771676821826,0.001742170059968528
fs,glc2,21%,None,3PG,48,M3,1.0841597295631739e-20,1.674899546385775e-20
fs,glc2,21%,None,3PG,72,M0,0.5392971572688569,0.0027937314242536906
fs,glc2,21%,None,3PG,72,M1,0.0017133734333930185,8.613419012026548e-4
fs,glc2,21%,None,3PG,72,M2,0.4651971301634291,0.00116095146853916
fs,glc2,21%,None,3PG,72,M3,-1.646679678137893e-19,3.12747022161798e-20
fs,glc2,21%,DMSO,3PG,24,M0,0.5687104669723906,0.0017703452855558077
fs,glc2,21%,DMSO,3PG,24,M1,6.337576196993122e-4,4.8232567807841853e-4
fs,glc2,21%,DMSO,3PG,24,M2,0.43666483977925497,0.0014316931500647778
fs,glc2,21%,DMSO,3PG,24,M3,-1.3599295376728602e-19,1.9667388222575166e-19
fs,glc2,21%,DMSO,3PG,48,M0,0.546911540075453,0.0026027340351384427
fs,glc2,21%,DMSO,3PG,48,M1,0.0022102544499738854,5.201489037155813e-5
fs,glc2,21%,DMSO,3PG,48,M2,0.45473049157233003,0.00245964621658809
fs,glc2,21%,DMSO,3PG,48,M3,-4.778177694228478e-20,6.754500906978254e-20
fs,glc2,21%,DMSO,3PG,72,M0,0.535363438952372,0.0016996000513516127
fs,glc2,21%,DMSO,3PG,72,M1,0.004113357819462021,3.5426790030369973e-6
fs,glc2,21%,DMSO,3PG,72,M2,0.46400934722180864,0.001743788956596409
fs,glc2,21%,DMSO,3PG,72,M3,-1.0710430206698462e-19,4.079842008330319e-20
fs,glc2,21%,BAY,3PG,24,M0,0.5855270111462508,0.0015265313392872624
